'Page number,'Key,'Value,'Normalized,'Confidence score % (Key),'Confidence score % (Value)
"'3",',"'Bancolombia","'NAME","'","'95.85836792"
"'3",',"'Bancolombia","'NAME","'","'92.75481415"
"'3","'NIT:","'890.903.938-8","'TAX_PAYER_ID","'74.17630768","'82.79031372"
"'3","'NIT:","'890.903.938-8","'TAX_PAYER_ID","'80.58232117","'91.69746399"
"'3","'Cupo Total","'$ 14,000,000.00","'SUBTOTAL","'83.73831177","'63.00239563"
"'3","'Disponible Total","'$ 3,489,559.70","'SUBTOTAL","'93.93000031","'77.38262177"
"'3","'Disponible Avances","'$ 3,489,559.70","'SUBTOTAL","'91.65054321","'53.56179428"
"'3","'Pagos total","'7.620.805,00","'SUBTOTAL","'81.94302368","'84.11329651"
"'3","'Pago mínimo","'7,620,805.00","'TOTAL","'71.63452911","'74.06994629"
"'3",',"'Bancolombia","'VENDOR_NAME","'","'95.85836792"
"'3",',"'Bancolombia","'VENDOR_NAME","'","'92.75481415"
"'3",',"'www.puntoscolombia.com","'VENDOR_URL","'","'97.37435913"
"'3","'CUPÓN DE PAGO EN:","'PESOS","'OTHER","'79.32080841","'80.28100586"
"'3","'ESTADO DE CUENTA EN:","'PESOS","'OTHER","'93.36029053","'96.34888458"
"'3","'Cupo de Avances","'$ 14,000,000.00","'OTHER","'94.08235168","'74.47289276"
"'3","'Período Facturado","'Desde: 30/12/2024 Hasta: 30/01/2025""Pague antes de Valor Pagado","'OTHER","'80.11407471","'78.36098480"
"'3","'Desde:","'30/12/2024","'OTHER","'99.43270874","'96.24247742"
"'3","'Hasta:","'30/01/2025","'OTHER","'99.15383148","'96.38961792"
"'3","'Pague antes de","'17/02/2025","'OTHER","'96.11854553","'98.98208618"
"'3","'Compra 2 36 meses","'1,8646 % 24.8186 %","'OTHER","'48.44953537","'44.68433380"
"'3","'Impuestos","'1,8646 % 24,8186 %","'OTHER","'98.97521973","'66.93835449"
"'3","'Otros""cargos","'48,490.00","'OTHER","'88.88814545","'96.66170502"
"'3","'+ Otros cargos","'48,490.00","'OTHER","'58.54383850","'65.57579803"
"'3","'Avances","'1,8646 % 24,8186 %","'OTHER","'98.02121735","'55.02032089"
"'3","'Mora","'1,8646 24,8186","'OTHER","'92.47783661","'90.43991852"
"'3","'Saldo a favor","'0,00","'OTHER","'81.06271362","'99.45271301"
"'3","'Saldo a favor","'0.00","'OTHER","'88.19673920","'98.36444092"
"'3","'DCF:","'defensor@bancolombia.com.co;www.bancolombia.com/personas/defensor-financiero;","'OTHER","'73.69816589","'73.69816589"
"'3","'Medellín:","'Tel6043561225-018000522622","'OTHER","'55.63328171","'55.63328171"
"'3","'Pag.","'1/2","'OTHER","'99.34480286","'84.85013580"
